e_code,status,name_ru,name_en,note
,haram,полисорбат 80,polysorbate 80,
,halal,поливиниловый спирт,polyvinyl alcohol,
,halal,поливинилполипирролидон,polyvinylpolypyrrolidone,
E1201,halal,поливинилпирролидон,polyvinylpyrrolidone,
,halal,понсо 4р / кошениль красный а,ponceau 4r / cochineal red a,
E124,halal,пунцовый 4r,ponceau 4r/cochineal red a,
,halal,понсо 6р,ponceau 6r,
,halal,понсо sx,ponceau sx,
,haram,свинина,pork,
E261,halal,ацетат калия,potassium acetate,
E357,halal,адипат калия,potassium adipate,
E402,halal,альгинат калия,potassium alginate,
E555,halal,алюмосиликат калия,potassium aluminium silicate,
,halal,аскорбат калия,potassium ascorbate,
Е212,halal,бензоат калия,potassium benzoate,
,halal,бикарбонат калия,potassium bicarbonate,
E924,halal,бромат калия,potassium bromate,
E501,halal,карбонат калия,potassium carbonate/potassium,
E508,halal,хлорид калия,potassium chloride,
E332,halal,цитраты калия,potassium citrates,
E536,halal,ферроцианид калия,potassium ferrocyanide,
,halal,стеарилфумарат калия,potassium fumarate,
E577,halal,глюконат калия,potassium gluconate,
Е228,halal,гидросульфит калия,potassium hydrogen sulphite,
E525,halal,гидроксид калия,potassium hydroxide,
E326,halal,лактат калия,potassium lactate,
E351,halal,малат калия,potassium malate,
Е224,halal,пиросульфит калия,potassium metabisulphite,
E252,halal,нитрат калия,potassium nitrate,
,haram,нитрат калия (селитра),potassium nitrate(saltpetre),
E249,halal,нитрит калия,potassium nitrite,
,halal,персульфат калия,potassium persulphate,
E340,halal,фосфаты калия,potassium phosphates,
E283,halal,пропионат калия,potassium propionate,
E337,halal,тартраты калия-натрия,potassium sodium tartrate,
Е202,halal,сорбат калия,potassium sorbate,
E515,halal,сульфат калия,potassium sulphate,
Е225,halal,сульфит калия,potassium sulphite,
,haram,тартраты калия (винный камень),potassium tartrates (cream of tartar),
E336,halal,тартраты калия,potassium tartrates (cream of),
,halal,картофель,potato,
,halal,картофельный крахмал,potato starch,
,halal,прежелатинизированный крахмал,pregelatinized starch,
,halal,обработанные водоросли эвхеума,processed eucheuma seaweed,
E944,halal,пропан,propane,
E405,halal,альгинат пропиленгликоля,propane-12-diol alginate,
E477,mushbooh,эфиры пропиленгликоля и жирных кислот PGMS,propane-12-diol esters of fatty acids propylene glycol esters of fatty acids,
E280,halal,пропионовая кислота,propionic acid,
,halal,пропил 4- гидроксибензоат,propyl 4- hydroxybenzoate,
Е216,halal,пара-оксибензойной кислоты пропиловый эфир,propyl 4-hydroxybenzoate,
E310,halal,пропилгаллат,propyl gallate,
E1520,halal,пропиленгликоль,propylene glycol,
,haram,моностеарат пропиленгликоля,propylene glycol monostearate,
,haram,протеаза,protease,
,halal,фермент протеаза,protease enzyme,
,halal,псиллиум,psyllium,
,halal,натуральные ванильные стручки,natural vanilla beans,
,haram,пиридоксин,pyridoxine,
E999,haram,экстракт квиллайи,quillaia extract,
E104,halal,желтый хинолиновый,quinoline yellow,
,haram,радужные брызги,rainbow sprinkles,
,halal,изюм,raisin,
,halal,рапс,rapeseed,
,halal,красный 2г,red 2g,
,halal,порошок красного перца,red pepper powder,
,halal,рафинированная мука,refined flour,
E907,halal,поли-1-децен гидрогенизированный,refined microcrystalline wax,
,mushbooh,сычужный фермент,rennet,
,mushbooh,сычужный казеин,rennet casein,
,halal,сычужные микробные ферменты,rennet microbial enzymes,
,haram,ретинол,retinol,
E161F,halal,родоксантин,rhodoxanthin,
,haram,рибофлавин,riboflavin,
E101,halal,рибофлавин (витамин b2),riboflavin (vitamin b2),
,halal,рибофлавин-5'-фосфат,riboflavin-5'-phosphate,
E106,halal,рибофлавин-5'-фосфат натрия натриевая соль витамина в2,riboflavin-5-phospate sodium salt vitamin b2 phospate sodium,
,halal,рибофлавин-5-фосфат натрия,riboflavin-5-sodium phosphate,
,halal,рис,rice,
,halal,воск из рисовых отрубей,rice bran wax,
,haram,экстракт розмарина,rosemary extract,
E161D,halal,рубиксантин,rubixanthin,
,haram,ром,rum,
,halal,рожь,rye,
E954,halal,сахарин,saccharin,
,halal,сафлор,safflower,
,halal,шафран,saffron,
,halal,шалфей,sage,
,halal,соль,salt,
,halal,пикантный,savory,
,halal,морская соль,sea salt,
,halal,манная крупа,semolina,
,halal,кунжут,sesame,
,halal,шалот,shallot,
E904,mushbooh,шеллак,shellac,
,haram,хересное вино,sherry wine,
E551,halal,диоксид кремния,silicon dioxide (silica salt),
E174,halal,серебро,silver,
,halal,обезжиренная корова,skimmed cow,
,haram,5-инозинат натрия,sodium 5-inosinate,
E262,halal,ацетат натрия,sodium acetates,
,halal,пирофосфат натрия кислоты,sodium acid pyrophosphate,
E356,halal,адипат натрия,sodium adipate,
E401,halal,альгинат натрия,sodium alginate,
E541,halal,алюмофосфат натрия,sodium aluminium phosphate,
E554,halal,алюмосиликат натрия,sodium aluminium silicate,
,halal,фосфат алюминия-натрия,sodium aluminum phosphate,
"E450 A,B,C",halal,фосфаты и полифосфаты натрия и калия,sodium and potassium phosphates and polyphosphates,
E301,halal,аскорбат натрия,sodium ascorbate,
Е211,halal,бензоат натрия,sodium benzoate,
,halal,бикарбонат натрия,sodium bicarbonate,
,halal,дифенил-2-ил оксид натрия,sodium biphenyl-2-yl oxide,
,halal,карбонат натрия / бикарбонат натрия,sodium carbonate / sodium bicarbonate,
E500,halal,карбонат натрия,sodium carbonate/sodium,
,halal,цитрат натрия,sodium citrate,
E331,halal,цитраты натрия,sodium citrates,
,halal,дигидроцитрат натрия,sodium dihydrogen citrate,
E316,halal,эриторбат натрия,sodium erythorbate,
,halal,эриторбин натрия,sodium erythorbin,
Е215,halal,пара-гидроксибензойной кислоты этилового эфира натриевая соль,sodium ethyl 4-hydroxybenzoate,
E535,halal,ферроцианид натрия,sodium ferrocyanide,
,halal,формиат натрия,sodium formate,
,halal,стеарилфумарат натрия,sodium fumarate,
E576,halal,глюконат натрия,sodium gluconate,
E627,halal,гуанилат натрия,sodium guanylate,
Е222,halal,гидросульфит натрия,sodium hydrogen sulphite,
E524,halal,гидроксид натрия,sodium hydroxide,
E325,halal,лактат натрия,sodium lactate,
,haram,лаурилсульфат натрия,sodium lauryl sulfate,
E350,halal,малат натрия,sodium malate,
,halal,метабисульфат натрия,sodium metabisulfate,
Е223,halal,пиросульфит натрия,sodium metabisulphite,
Е219,halal,пара-гидроксибензойной кислоты метилового эфира натриевая соль,sodium methyl4- hydroxybenzoate,
E251,halal,нитрат натрия,sodium nitrate,
E250,halal,нитрит натрия,sodium nitrite,
Е232,halal,ортофенилфенол натрия,sodium orthophenyl phenol,
E339,halal,фосфаты натрия,sodium phosphates,
,halal,полифосфаты натрия,sodium polyphosphates,
E470,mushbooh,жирных кислотсоли калия кальция натрия,sodium potassium and calcium salts of fatty acids,
E281,halal,пропионат натрия,sodium propionate,
Е217,halal,пара-оксибензойной кислоты пропилового эфира натриевая соль,sodium propyl 4-hydroxybenzoate,
,halal,натриевая соль,sodium salt,
E550,halal,силикат натрия,sodium silicate,
Е201,halal,сорбат натрия,sodium sorbate,
,haram,стеароиллактилат натрия,sodium stearoyl lactylate,
E481,mushbooh,стеароил-2-лактилат натрия,sodium stearoyl-2-lactylate,
E514,halal,сульфат натрия,sodium sulphate,
Е221,halal,сульфит натрия,sodium sulphite,
E335,halal,тартраты натрия,sodium tartrates,
,halal,тетраборат натрия,sodium tetraborate,
E285,halal,тетраборат натрия (боракс),sodium tetraborate borax,
,haram,натриевые калиевые и кальциевые соли жирных кислот,"sodium, potassium and calcium salts of fatty acids",
,halal,натрия-1-аскорбат,sodium-l-ascorbate,
,haram,натрий5-рибонуклеотид,sodium5-ribonucleotide,
,haram,умягчитель,softener,
Е200,halal,сорбиновая кислота,sorbic acid,
,mushbooh,сорбитан,sorbitan,"Сорбитан — это ""полуфабрикат"" из растительного сырья, но его производные (E491-E495) могут быть проблемными из-за жирных кислот неизвестного происхождения."
,mushbooh,сорбитан моноолеат,sorbitan mono-oleate,"Сорбитан — это ""полуфабрикат"" из растительного сырья, но его производные (E491-E495) могут быть проблемными из-за жирных кислот неизвестного происхождения."
E493,mushbooh,сорбитан монолаурат,sorbitan monolaurate,"Сорбитан — это ""полуфабрикат"" из растительного сырья, но его производные (E491-E495) могут быть проблемными из-за жирных кислот неизвестного происхождения."
E494,mushbooh,сорбитан моноолеат,sorbitan monooleate,"Сорбитан — это ""полуфабрикат"" из растительного сырья, но его производные (E491-E495) могут быть проблемными из-за жирных кислот неизвестного происхождения."
E495,mushbooh,сорбитан монопальмитат,sorbitan monopalmitate,"Сорбитан — это ""полуфабрикат"" из растительного сырья, но его производные (E491-E495) могут быть проблемными из-за жирных кислот неизвестного происхождения."
E491,mushbooh,сорбитан моностеарат,sorbitan monostearate,"Сорбитан — это ""полуфабрикат"" из растительного сырья, но его производные (E491-E495) могут быть проблемными из-за жирных кислот неизвестного происхождения."
E492,mushbooh,сорбитан тристеарат,sorbitan tristearate,"Сорбитан — это ""полуфабрикат"" из растительного сырья, но его производные (E491-E495) могут быть проблемными из-за жирных кислот неизвестного происхождения."
E420,halal,сорбит,sorbitol,
,halal,сироп сорбита,sorbitol syrup,
,haram,модифицированный лецитин экстрагированный совентом,sovent extracted modified lecithin,
,haram,концентрат соевого белка,soy protein concentrate,
,halal,изолят соевого белка,soy protein isolate,
,halal,соевый соус,soy sauce,
,halal,соевая мука,soya flour,
,halal,соевый лецитин,soya lecithin,
,halal,соевое масло,soya oil,
,halal,соевая гемицеллюлоза,soyabean hemicellulose,
,halal,соевые бобы,soybean,
,halal,специи,spices,
E512,halal,хлорид олова,stannous chloride,
,halal,крахмал,starch,
E1450,halal,эфир крахмала и натриевой соли октенилянтарной кислоты,starch sodium octenyl succinate,
E570,mushbooh,стеариновая кислота,stearic acid,
E483,mushbooh,стеарилтартрат,stearyl tartrate,
,haram,стевия,stevia,
E363,halal,янтарная кислота,succinic acid,
E965,halal,мальтит,sucralose,
E474,mushbooh,сахароглицериды,sucroglycerides,
E444,halal,сахарозы ацетат изобутират,sucrose acetate isobutyrate,
E473,mushbooh,эфиры сахарозы и жирных кислот,sucrose esters of fatty acids,
,halal,сахар,sugar,
,halal,сульфитно-аммиачная карамель,sulphite ammonia caramel,
Е220,halal,диоксид серы,sulphur dioxide,
E513,halal,серная кислота,sulphuric acid,
,halal,подсолнечник,sunflower,
E110,halal,"желтый ""солнечный закат""",sunset yellow fcf (orange yellow s),
,halal,желтый закат fcf / оранжево-желтый s,sunset yellow fcf / orange yellow s,
,haram,сурими,surimi,
,haram,суши,sushi,
,halal,синтетический дельта-токоферол,synthetic delta- tocopherol,
,halal,танин,tannin,
,halal,тапиоковый крахмал,tapioca starch,
E417,halal,тары камедь,tara gum,
E334,halal,винная кислота,tartaric acid,
,haram,глицериновые эфиры винной кислоты,tartaric acid glycerol esters,
E102,halal,тартразин,tartrazine,
,haram,таурин,taurine,
,haram,терияки,teriyaki,
Е319,halal,третичный бутилгидрохинон,tert-butylhydroquinone,
,halal,трет-бутилгидроксихинон,tert-butylhydroxyquinone,
,halal,пирофосфат тетракалия,tetrapotassium pyrophosphate,
,halal,текстурированный растительный белок,textured vegetable protein,
E967,halal,тауматин,thaumatin,
,haram,термически окисленное соевое масло взаимодействующее с м,thermally oxidized soya bean oil interacted with m,
E479B,mushbooh,термически окисленное соевое и бобовое масло с моно- и диглицеридами жирных кислот,thermally oxidized soya bean oil interacted with mono- and diglycerides of fatty acids,
Е233,halal,тиабендазол,thiabendazole,
,haram,тиамин,thiamine,
,haram,тиамина мононитрат,thiamine mononitrate,
E1410,halal,загуститель стабилизатор,thickener stabilizer,
E171,halal,диоксид титана,titanium dioxide,
,haram,токоферол,tocopherol,
,haram,токоферол или витамин е,tocopherol or vitamin e,
,halal,тофу,tofu,
,halal,томатный порошок,tomato powder,
E413,halal,трагакант,tragacanth,
E380,halal,цитрат аммония,triammonium citrate,
,halal,трикальций диортофосфат,tricalcium diorthophosphate,
,halal,трикальций фосфат,tricalcium phosphate,
,halal,триэтанолмаин,triethanolmaine,
E1505,halal,триэтилцитрат,triethyl citrate,
E451,halal,трифосфаты,triphosphates,
,halal,ортофосфат трикалия,tripotassium orthophosphate,
,halal,тринатрий цитрат,trisodium citrate,
,halal,тринатрий гидроортофосфат,trisodium hydrogen orthophosphate,
,haram,куркума,turmeric,
,haram,экстракт куркумы,turmeric extract,
,haram,турола дрожжи,turola yeast,
,haram,ванильный порошок,vanilla bean powder,
,haram,стручки ванили,vanilla bean specks,
,haram,стручки ванили или стручки ванили,vanilla beans or vanilla beans speck,
,haram,экстракт ванили,vanilla extract,
,halal,ванилин,vanillin,
E472,mushbooh,различные эфиры моно- и диглицеридов жирных кислот,various esters of mono- and diglycerides of fatty acids,
,halal,растительные масла,vegetable oils,
,halal,уксус,vinegar,
E161E,halal,виолоксантин,violaxanthin,
,halal,жизненно важный пшеничный глютен,vital wheat gluten,
,halal,водное мыло,water soap,
,halal,пшеница,wheat,
,halal,пшеничная мука,wheat flour,
,mushbooh,сыворотка,whey,
,mushbooh,концентрат сывороточного белка,whey protein concentrate,
,haram,вино,wine,
,haram,винный уксус,wine vinagar,
,haram,вустерширский соус,worcestershire sauce,
E415,halal,ксантановая камедь,xanthan gum,
E967,halal,ксилит,xylitol,
,haram,дрожжевой экстракт из пивных дрожжей,yeast extract from brewer yeast,
,halal,зеаксантин,zeaxanthin,
,halal,зейн,zein,
E650,halal,ацетат цинка,zinc acetate,
